,team_name,href,id,year,league_id
0,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40/saison_id/2000,40,2000,5
1,SC Bastia,/sc-bastia/startseite/verein/595/saison_id/2000,595,2000,5
2,LOSC Lille,/losc-lille/startseite/verein/1082/saison_id/2000,1082,2000,5
3,AS Monaco,/as-monaco/startseite/verein/162/saison_id/2000,162,2000,5
4,AS Saint-Étienne,/as-saint-etienne/startseite/verein/618/saison_id/2000,618,2000,5
5,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095/saison_id/2000,1095,2000,5
6,Olympique Marseille,/olympique-marseille/startseite/verein/244/saison_id/2000,244,2000,5
7,RC Strasbourg Alsace,/rc-strassburg-alsace/startseite/verein/667/saison_id/2000,667,2000,5
8,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273/saison_id/2000,273,2000,5
9,RC Lens,/rc-lens/startseite/verein/826/saison_id/2000,826,2000,5
10,AJ Auxerre,/aj-auxerre/startseite/verein/290/saison_id/2000,290,2000,5
11,EA Guingamp,/ea-guingamp/startseite/verein/855/saison_id/2000,855,2000,5
12,FC Metz,/fc-metz/startseite/verein/347/saison_id/2000,347,2000,5
13,FC Nantes,/fc-nantes/startseite/verein/995/saison_id/2000,995,2000,5
14,FC Toulouse,/fc-toulouse/startseite/verein/415/saison_id/2000,415,2000,5
15,Olympique Lyon,/olympique-lyon/startseite/verein/1041/saison_id/2000,1041,2000,5
16,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583/saison_id/2000,583,2000,5
17,CS Sedan-Ardennes,/cs-sedan-ardennes/startseite/verein/1081/saison_id/2000,1081,2000,5
0,Olympique Lyon,/olympique-lyon/startseite/verein/1041/saison_id/2001,1041,2001,5
1,RC Lens,/rc-lens/startseite/verein/826/saison_id/2001,826,2001,5
2,AJ Auxerre,/aj-auxerre/startseite/verein/290/saison_id/2001,290,2001,5
3,Paris Saint-Germain,/fc-paris-saint-germain/startseite/verein/583/saison_id/2001,583,2001,5
4,LOSC Lille,/losc-lille/startseite/verein/1082/saison_id/2001,1082,2001,5
5,FC Girondins Bordeaux,/fc-girondins-bordeaux/startseite/verein/40/saison_id/2001,40,2001,5
6,ESTAC Troyes,/es-troyes-ac/startseite/verein/1095/saison_id/2001,1095,2001,5
7,FC Sochaux-Montbéliard,/fc-sochaux-montbeliard/startseite/verein/750/saison_id/2001,750,2001,5
8,Olympique Marseille,/olympique-marseille/startseite/verein/244/saison_id/2001,244,2001,5
9,FC Nantes,/fc-nantes/startseite/verein/995/saison_id/2001,995,2001,5
10,SC Bastia,/sc-bastia/startseite/verein/595/saison_id/2001,595,2001,5
11,Stade Rennais FC,/fc-stade-rennes/startseite/verein/273/saison_id/2001,273,2001,5
12,Montpellier HSC,/montpellier-hsc/startseite/verein/969/saison_id/2001,969,2001,5
13,CS Sedan-Ardennes,/cs-sedan-ardennes/startseite/verein/1081/saison_id/2001,1081,2001,5
14,AS Monaco,/as-monaco/startseite/verein/162/saison_id/2001,162,2001,5
15,EA Guingamp,/ea-guingamp/startseite/verein/855/saison_id/2001,855,2001,5
16,FC Metz,/fc-metz/startseite/verein/347/saison_id/2001,347,2001,5
17,FC Lorient,/fc-lorient/startseite/verein/1158/saison_id/2001,1158,2001,5
0,Olympique Lyon,/olympique-lyon/startseite/verein/1041/saison_id/2002,1041,2002,5
1,AS Monaco,/as-monaco/startseite/verein/162/saison_id/2002,162,2002,5
2,Olympique Marseille,/olympique-marseille/startseite/verein/244/saison_id/2002,244,2002,5
