,players,player_href,player_id,Birthday,Number,transfer_hrefs,transfer_years,transfer_club_ids,current_mv,max_mv,main_position,nationality,other_positions
0,Oliver Christensen,/oliver-christensen/profil/spieler/471936,471936,"Mar 22, 1999 (24)",1,"['/odense-boldklub/transfers/verein/173/saison_id/2021', '/odense-boldklub-u19/transfers/verein/14364/saison_id/2017', '/odense-boldklub-youth/transfers/verein/10598/saison_id/2016']","['2021', '2017', '2016']","['44', '173', '14364', '10598']","
                €4.00m                ",€4.50m,['Goalkeeper'],['Denmark'],
1,Tjark Ernst,/tjark-ernst/profil/spieler/553282,553282,"Mar 15, 2003 (20)",12,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2022', '/vfl-bochum-u19/transfers/verein/3862/saison_id/2022', '/vfl-bochum-u17/transfers/verein/21085/saison_id/2020', '/vfl-bochum-youth/transfers/verein/11894/saison_id/2018', '/djk-arminia-bochum-youth/transfers/verein/23770/saison_id/2011', '/tsg-niederdorfelden-jugend/transfers/verein/97175/saison_id/2008']","['2022', '2022', '2020', '2018', '2011', '2008']","['44', '45', '3862', '21085', '11894', '23770', '97175']","
                €400k                ",€400k,['Goalkeeper'],['Germany'],
2,Rune Jarstein,/rune-jarstein/profil/spieler/24112,24112,"Sep 29, 1984 (38)",22,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/viking-fk/transfers/verein/239/saison_id/2013', '/rosenborg-bk/transfers/verein/195/saison_id/2009', '/odds-bk/transfers/verein/1058/saison_id/2007', '/odds-bk-youth/transfers/verein/15686/saison_id/2001']","['2023', '2013', '2009', '2007', '2001']","['44', '44', '239', '195', '1058', '15686']","
                €300k                ",€2.50m,['Goalkeeper'],['Norway'],
3,Marc Oliver Kempf,/marc-oliver-kempf/profil/spieler/160938,160938,"Jan 28, 1995 (28)",20,"['/vfb-stuttgart/transfers/verein/79/saison_id/2021', '/sc-freiburg/transfers/verein/60/saison_id/2018', '/eintracht-frankfurt/transfers/verein/24/saison_id/2014', '/eintracht-frankfurt-u17/transfers/verein/21057/saison_id/2012', '/eintracht-frankfurt-youth/transfers/verein/12016/saison_id/2010', '/spvgg-08-bad-nauheim-youth/transfers/verein/46722/saison_id/2007', '/sv-1919-bruchenbrucken-youth/transfers/verein/44808/saison_id/2006', '/tsv-1906-dorn-assenheim-youth/transfers/verein/46724/saison_id/2005']","['2021', '2018', '2014', '2012', '2010', '2007', '2006', '2005']","['44', '79', '60', '24', '21057', '12016', '46722', '44808', '46724']","
                €3.50m                ",€8.00m,['Centre-Back'],['Germany'],"['Defensive Midfield', 'Left-Back']"
4,Márton Dárdai,/marton-dardai/profil/spieler/432281,432281,"Feb 12, 2002 (21)",31,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2020', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2019', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2019', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2017', '/1-fc-wilmersdorf-youth/transfers/verein/65587/saison_id/2012']","['2020', '2019', '2019', '2017', '2012']","['44', '45', '2827', '21066', '11844', '65587']","
                €3.50m                ",€6.00m,['Centre-Back'],"['Germany', 'Hungary']",['Defensive Midfield']
5,Filip Uremovic,/filip-uremovic/profil/spieler/325887,325887,"Feb 11, 1997 (26)",5,"['/rubin-kazan/transfers/verein/2698/saison_id/2022', '/sheffield-united/transfers/verein/350/saison_id/2021', '/rubin-kazan/transfers/verein/2698/saison_id/2021', '/nk-olimpija-ljubljana/transfers/verein/4772/saison_id/2018', '/gnk-dinamo-zagreb/transfers/verein/419/saison_id/2017', '/hnk-cibalia-vinkovci/transfers/verein/314/saison_id/2016', '/gnk-dinamo-zagreb/transfers/verein/419/saison_id/2016', '/hnk-cibalia-vinkovci/transfers/verein/314/saison_id/2016', '/hnk-cibalia-vinkovci-u19/transfers/verein/14461/saison_id/2015', '/hnk-cibalia-vinkovci-u17/transfers/verein/36343/saison_id/2014', '/unknown/transfers/verein/75/saison_id/2013']","['2022', '2021', '2021', '2018', '2017', '2016', '2016', '2016', '2015', '2014', '2013']","['44', '2698', '350', '2698', '4772', '419', '314', '419', '314', '14461', '36343', '75']","
                €2.00m                ",€7.00m,['Centre-Back'],['Croatia'],['Right-Back']
6,Agustín Rogel,/agustin-rogel/profil/spieler/456535,456535,"Oct 17, 1997 (25)",3,"['/club-estudiantes-de-la-plata/transfers/verein/288/saison_id/2022', '/fc-toulouse/transfers/verein/415/saison_id/2021', '/club-estudiantes-de-la-plata/transfers/verein/288/saison_id/2021', '/fc-toulouse/transfers/verein/415/saison_id/2020', '/krylya-sovetov-samara/transfers/verein/2696/saison_id/2019', '/club-nacional/transfers/verein/866/saison_id/2018', '/club-nacional-u19/transfers/verein/16560/saison_id/2016']","['2022', '2021', '2021', '2020', '2019', '2018', '2016']","['44', '288', '415', '288', '415', '2696', '866', '16560']","
                €1.50m                ",€4.50m,['Centre-Back'],"['Uruguay', 'Italy']",
7,Maximilian Mittelstädt,/maximilian-mittelstadt/profil/spieler/282660,282660,"Mar 18, 1997 (26)",17,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2015', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2014', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2013', '/fc-hertha-03-zehlendorf-youth/transfers/verein/39378/saison_id/2012', '/sc-staaken-1919-youth/transfers/verein/59714/saison_id/2010']","['2023', '2015', '2014', '2013', '2012', '2010']","['44', '44', '2827', '21066', '11844', '39378', '59714']","
                €2.00m                ",€14.00m,['Left-Back'],['Germany'],"['Left Midfield', 'Left Winger']"
8,Marvin Plattenhardt,/marvin-plattenhardt/profil/spieler/89592,89592,"Jan 26, 1992 (31)",21,"['/hertha-bsc/transfers/verein/44/saison_id/2023', '/1-fc-nuremberg/transfers/verein/4/saison_id/2014', '/1-fc-nuremberg-ii/transfers/verein/473/saison_id/2010', '/1-fc-nurnberg-u19/transfers/verein/2613/saison_id/2010', '/1-fc-nurnberg-u17/transfers/verein/21049/saison_id/2009', '/ssv-reutlingen-05-u17/transfers/verein/20936/saison_id/2008', '/ssv-reutlingen-05-youth/transfers/verein/33728/saison_id/2007', '/fv-09-nurtingen-youth/transfers/verein/66071/saison_id/2006', '/1-fc-frickenhausen-youth/transfers/verein/55742/saison_id/2005']","['2023', '2014', '2010', '2010', '2009', '2008', '2007', '2006', '2005']","['44', '44', '4', '473', '2613', '21049', '20936', '33728', '66071', '55742']","
                €1.00m                ",€17.00m,['Left-Back'],['Germany'],['Left Midfield']
9,Lukas Ullrich,/lukas-ullrich/profil/spieler/787151,787151,"Mar 16, 2004 (19)",26,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2023', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2022', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2021', '/hertha-bsc-u16/transfers/verein/42338/saison_id/2020', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2019']","['2023', '2022', '2021', '2020', '2019']","['44', '45', '2827', '21066', '42338', '11844']","
                €750k                ",€750k,['Left-Back'],['Germany'],"['Left Midfield', 'Left Winger']"
10,Jonjoe Kenny,/jonjoe-kenny/profil/spieler/258883,258883,"Mar 15, 1997 (26)",16,"['/everton-fc/transfers/verein/29/saison_id/2022', '/celtic-fc/transfers/verein/371/saison_id/2020', '/everton-fc/transfers/verein/29/saison_id/2020', '/fc-schalke-04/transfers/verein/33/saison_id/2019', '/everton-fc/transfers/verein/29/saison_id/2019', '/everton-fc-u21/transfers/verein/9261/saison_id/2017', '/oxford-united/transfers/verein/988/saison_id/2015', '/everton-fc-u21/transfers/verein/9261/saison_id/2015', '/wigan-athletic/transfers/verein/1071/saison_id/2015', '/everton-fc-u21/transfers/verein/9261/saison_id/2015', '/everton-fc-u18/transfers/verein/6920/saison_id/2014', '/everton-fc-youth/transfers/verein/50769/saison_id/2013']","['2022', '2020', '2020', '2019', '2019', '2017', '2015', '2015', '2015', '2015', '2014', '2013']","['44', '29', '371', '29', '33', '29', '9261', '988', '9261', '1071', '9261', '6920', '50769']","
                €3.00m                ",€12.00m,['Right-Back'],['England'],"['Right Midfield', 'Left-Back']"
11,Peter Pekarik,/peter-pekarik/profil/spieler/51100,51100,"Oct 30, 1986 (36)",2,"['/vfl-wolfsburg/transfers/verein/82/saison_id/2012', '/kayserispor/transfers/verein/3205/saison_id/2011', '/vfl-wolfsburg/transfers/verein/82/saison_id/2011', '/msk-zilina/transfers/verein/1443/saison_id/2008', '/fk-dubnica-nad-vahom/transfers/verein/7392/saison_id/2005', '/fk-dubnica-u19/transfers/verein/24519/saison_id/2004']","['2012', '2011', '2011', '2008', '2005', '2004']","['44', '82', '3205', '82', '1443', '7392', '24519']","
                €500k                ",€3.50m,['Right-Back'],['Slovakia'],['Left-Back']
12,Julian Eitschberger,/julian-eitschberger/profil/spieler/706617,706617,"Mar 5, 2004 (19)",42,"['/hertha-bsc-u19/transfers/verein/2827/saison_id/2022', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2021', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2019', '/sc-staaken-1919-youth/transfers/verein/59714/saison_id/2017']","['2022', '2021', '2019', '2017']","['44', '2827', '21066', '11844', '59714']","
                €350k                ",€350k,['Right-Back'],['Germany'],"['Centre-Back', 'Right Midfield']"
