,players,player_href,player_id,Birthday,Number,transfer_hrefs,transfer_years,transfer_club_ids,current_mv,max_mv,main_position,nationality,other_positions
0,Daniel Mesenhöler,/daniel-mesenholer/profil/spieler/150080,150080,"Jul 24, 1995 (20)",1,"['/hallescher-fc/transfers/verein/440/saison_id/2023', '/without-club/transfers/verein/515/saison_id/2021', '/heracles-almelo/transfers/verein/1304/saison_id/2021', '/fc-viktoria-koln/transfers/verein/1622/saison_id/2020', '/msv-duisburg/transfers/verein/52/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-koln/transfers/verein/3/saison_id/2016', '/1-fc-koln-ii/transfers/verein/438/saison_id/2014', '/1-fc-koln-u19/transfers/verein/1461/saison_id/2013', '/1-fc-koln-u17/transfers/verein/21048/saison_id/2012', '/1-fc-koln-youth/transfers/verein/11880/saison_id/2010']","['2023', '2021', '2021', '2020', '2019', '2018', '2016', '2014', '2013', '2012', '2010']","['89', '440', '515', '1304', '1622', '52', '89', '3', '438', '1461', '21048', '11880']","
                €150k                ",€600k,['Goalkeeper'],['Germany'],
1,Jakob Busk,/jakob-busk/profil/spieler/203411,203411,"Sep 12, 1993 (22)",12,"['/fc-copenhagen/transfers/verein/190/saison_id/2015', '/sandefjord-fotball/transfers/verein/6399/saison_id/2015', '/fc-copenhagen/transfers/verein/190/saison_id/2014', '/ac-horsens/transfers/verein/2414/saison_id/2014', '/fc-copenhagen/transfers/verein/190/saison_id/2014', '/fc-copenhagen-u19/transfers/verein/16104/saison_id/2012', '/fc-copenhagen-youth/transfers/verein/52880/saison_id/2010']","['2015', '2015', '2014', '2014', '2014', '2012', '2010']","['89', '190', '6399', '190', '2414', '190', '16104', '52880']","
                €250k                ",€800k,['Goalkeeper'],['Denmark'],
2,Michael Gspurning,/michael-gspurning/profil/spieler/17029,17029,"May 2, 1981 (35)",30,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/fc-schalke-04/transfers/verein/33/saison_id/2016', '/fc-schalke-04-ii/transfers/verein/34/saison_id/2015', '/ao-platanias/transfers/verein/21957/saison_id/2014', '/paok-thessaloniki/transfers/verein/1091/saison_id/2014', '/seattle-sounders-fc/transfers/verein/9636/saison_id/2013', '/ao-xanthi/transfers/verein/128/saison_id/2011', '/lask-amateure-oo/transfers/verein/935/saison_id/2006', '/dsv-leoben/transfers/verein/307/saison_id/2004', '/austria-vienna/transfers/verein/14/saison_id/2001', '/ask-voitsberg/transfers/verein/3260/saison_id/2000', '/ask-voitsberg-youth/transfers/verein/18323/saison_id/1998']","['2017', '2016', '2015', '2014', '2014', '2013', '2011', '2006', '2004', '2001', '2000', '1998']","['89', '89', '33', '34', '21957', '1091', '9636', '128', '935', '307', '14', '3260', '18323']","
                -                ",€1.80m,['Goalkeeper'],['Austria'],
3,Steve Kroll,/steve-kroll/profil/spieler/275081,275081,"May 7, 1997 (19)",-,"['/sv-darmstadt-98/transfers/verein/105/saison_id/2023', '/spvgg-unterhaching/transfers/verein/66/saison_id/2021', '/sportfreunde-lotte/transfers/verein/668/saison_id/2019', '/vfr-wormatia-worms/transfers/verein/158/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/vfr-wormatia-worms/transfers/verein/158/saison_id/2016', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2014', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2012', '/lichtenrader-bc-youth/transfers/verein/65624/saison_id/2008', '/rsv-waltersdorf-youth/transfers/verein/65625/saison_id/2004']","['2023', '2021', '2019', '2018', '2017', '2016', '2016', '2014', '2012', '2008', '2004']","['89', '105', '66', '668', '158', '89', '158', '89', '21099', '36841', '65624', '65625']","
                €125k                ",€225k,['Goalkeeper'],['Germany'],
4,Toni Leistner,/toni-leistner/profil/spieler/86916,86916,"Aug 19, 1990 (25)",37,"['/sint-truidense-vv/transfers/verein/475/saison_id/2023', '/without-club/transfers/verein/515/saison_id/2021', '/hamburger-sv/transfers/verein/41/saison_id/2021', '/queens-park-rangers/transfers/verein/1039/saison_id/2020', '/1-fc-koln/transfers/verein/3/saison_id/2019', '/queens-park-rangers/transfers/verein/1039/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2014', '/hallescher-fc/transfers/verein/440/saison_id/2012', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2012', '/dynamo-dresden-ii/transfers/verein/5083/saison_id/2011', '/sc-borea-dresden/transfers/verein/880/saison_id/2010', '/sc-borea-dresden-u19/transfers/verein/9349/saison_id/2009', '/sc-borea-dresden-u17/transfers/verein/52233/saison_id/2007', '/sc-borea-dresden-youth/transfers/verein/52234/saison_id/2005']","['2023', '2021', '2021', '2020', '2019', '2019', '2018', '2014', '2012', '2012', '2011', '2010', '2009', '2007', '2005']","['89', '475', '515', '41', '1039', '3', '1039', '89', '129', '440', '129', '5083', '880', '9349', '52233', '52234']","
                €500k                ",€2.50m,['Centre-Back'],['Germany'],
5,Roberto Puncec,/roberto-puncec/profil/spieler/92120,92120,"Oct 27, 1991 (24)",4,"['/sporting-kansas-city/transfers/verein/4284/saison_id/2021', '/hnk-rijeka/transfers/verein/144/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/maccabi-tel-aviv/transfers/verein/119/saison_id/2013', '/1-fc-union-berlin/transfers/verein/89/saison_id/2012', '/maccabi-tel-aviv/transfers/verein/119/saison_id/2012', '/nk-varazdin/transfers/verein/599/saison_id/2011', '/nk-varazdin-u19/transfers/verein/14448/saison_id/2009', '/nk-varazdin-u17/transfers/verein/36354/saison_id/2008', '/nk-varazdin-youth/transfers/verein/36382/saison_id/2006', '/nk-trnje-trnovec/transfers/verein/40393/saison_id/2002']","['2021', '2019', '2017', '2013', '2012', '2012', '2011', '2009', '2008', '2006', '2002']","['89', '4284', '144', '89', '119', '89', '119', '599', '14448', '36354', '36382', '40393']","
€300k ",€1.00m,['Centre-Back'],['Croatia'],['Defensive Midfield']
6,Fabian Schönheim,/fabian-schonheim/profil/spieler/31652,31652,"Feb 14, 1987 (29)",34,"['/without-club/transfers/verein/515/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2013', '/1-fc-union-berlin/transfers/verein/89/saison_id/2012', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2012', '/sv-wehen-wiesbaden/transfers/verein/108/saison_id/2011', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2008', '/1-fc-kaiserslautern-u19/transfers/verein/2371/saison_id/2005']","['2020', '2019', '2013', '2012', '2012', '2011', '2008', '2005']","['89', '515', '89', '39', '89', '39', '108', '2', '2371']","
                -                ",€1.50m,['Centre-Back'],['Germany'],"['Left-Back', 'Defensive Midfield']"
7,Michael Parensen,/michael-parensen/profil/spieler/18533,18533,"Jun 24, 1986 (30)",29,"['/without-club/transfers/verein/515/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/1-fc-koln-ii/transfers/verein/438/saison_id/2008', '/borussia-dortmund-ii/transfers/verein/17/saison_id/2007', '/borussia-dortmund-u19/transfers/verein/1464/saison_id/2004', '/sc-paderborn-07-u19/transfers/verein/8312/saison_id/2002']","['2020', '2020', '2008', '2007', '2004', '2002']","['89', '515', '89', '438', '17', '1464', '8312']","
                -                ",€800k,['Centre-Back'],['Germany'],"['Left-Back', 'Defensive Midfield']"
8,Emanuel Pogatetz,/emanuel-pogatetz/profil/spieler/1094,1094,"Jan 16, 1983 (33)",3,"['/lask/transfers/verein/413/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/columbus-crew/transfers/verein/813/saison_id/2015', '/without-club/transfers/verein/515/saison_id/2014', '/1-fc-nuremberg/transfers/verein/4/saison_id/2014', '/vfl-wolfsburg/transfers/verein/82/saison_id/2013', '/west-ham-united/transfers/verein/379/saison_id/2012', '/vfl-wolfsburg/transfers/verein/82/saison_id/2012', '/hannover-96/transfers/verein/42/saison_id/2012', '/middlesbrough-fc/transfers/verein/641/saison_id/2010', '/bayer-04-leverkusen/transfers/verein/15/saison_id/2005', '/grazer-ak-1902/transfers/verein/316/saison_id/2004', '/spartak-moscow/transfers/verein/232/saison_id/2004', '/grazer-ak-1902/transfers/verein/316/saison_id/2004', '/bayer-04-leverkusen/transfers/verein/15/saison_id/2003', '/fc-aarau/transfers/verein/116/saison_id/2002', '/bayer-04-leverkusen/transfers/verein/15/saison_id/2002', '/fc-karnten-2009-/transfers/verein/155/saison_id/2001', '/sk-sturm-graz-ii/transfers/verein/4443/saison_id/2000', '/aka-steiermark-sturm-graz-u18/transfers/verein/4954/saison_id/1999', '/sk-sturm-graz-youth/transfers/verein/20153/saison_id/1997']","['2019', '2017', '2015', '2014', '2014', '2013', '2012', '2012', '2012', '2010', '2005', '2004', '2004', '2004', '2003', '2002', '2002', '2001', '2000', '1999', '1997']","['89', '413', '89', '813', '515', '4', '82', '379', '82', '42', '641', '15', '316', '232', '316', '15', '116', '15', '155', '4443', '4954', '20153']","
                -                ",€6.00m,['Centre-Back'],['Austria'],['Left-Back']
9,Kristian Pedersen,/kristian-pedersen/profil/spieler/331779,331779,"Aug 4, 1994 (21)",6,"['/birmingham-city/transfers/verein/337/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/hb-koge/transfers/verein/23297/saison_id/2016', '/ringsted-if/transfers/verein/24192/saison_id/2014']","['2022', '2018', '2016', '2014']","['89', '337', '89', '23297', '24192']","
                €1.20m                ",€5.00m,['Left-Back'],['Denmark'],"['Centre-Back', 'Left Midfield']"
